t,single,double,single,double
0.000000138,0.006205536,0.005415022,0.00336,0.042885333
0.000000138,0.004624508,0.006205536,-0.00059,0.042885333
0.000000139,0.003833994,0.006205536,-0.00059,0.031027645
0.000000139,0.004624508,0.005415022,0.007312,0.031027645
0.000000139,0.003833994,0.004624508,0.007312,0.027075082
0.000000139,0.004624508,0.005415022,0.00336,0.023122489
0.000000139,0.003833994,0.004624508,0.007312,0.027075082
0.00000014,0.004624508,0.004624508,0.007312,0.023122489
0.00000014,0.005415022,0.005415022,0.011265,0.015217364
0.00000014,0.004624508,0.005415022,0.007312,0.019169927
0.00000014,0.004624508,0.005415022,0.007312,0.023122489
0.00000014,0.006205536,0.006996051,0.00336,0.019169927
0.000000141,0.006205536,0.006996051,0.00336,0.023122489
0.000000141,0.006205536,0.006996051,-0.00059,0.015217364
0.000000141,0.006996051,0.006996051,0.007312,0.019169927
0.000000141,0.006205536,0.006205536,0.007312,0.019169927
0.000000141,0.006205536,0.006205536,0.070553,0.027075082
0.000000142,0.006205536,0.006996051,0.212846,0.14565215
0.000000142,0.005415022,0.006205536,0.307707,0.26422924
0.000000142,0.005415022,0.006205536,0.32747,0.32747033
0.000000142,0.009367593,0.014110677,0.256324,0.31166005
0.000000142,0.041778661,0.049683798,0.208893,0.24446638
0.000000143,0.0781423,0.087628461,0.17332,0.20889325
0.000000143,0.095533602,0.10264823,0.121937,0.16146243
0.000000143,0.092371546,0.094743088,0.110079,0.12984186
0.000000143,0.073399216,0.074980244,0.086364,0.11403158
0.000000143,0.062332019,0.063913047,0.066601,0.086363614
0.000000144,0.04810277,0.050474312,0.062648,0.078458458
0.000000144,0.037826091,0.040197633,0.05079,0.070553333
0.000000144,0.034664035,0.036245063,0.038933,0.050790489
0.000000144,0.029920954,0.02913044,0.031028,0.03893277
0.000000144,0.025968388,0.025177874,0.027075,0.03893277
0.000000145,0.020434789,0.021225303,0.01917,0.031027645
0.000000145,0.019644275,0.018063247,0.015217,0.027075082
0.000000145,0.016482219,0.016482219,0.01917,0.027075082
0.000000145,0.014110677,0.014110677,0.015217,0.027075082
